epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,832.039,1.40524,1.33522,1.66723,0.51046,0.61896,0.60755,0.28681,1.73804,1.5599,2.05855,0.0005941,0.0005941,0.0005941
43,851.055,1.40855,1.36642,1.66263,0.47954,0.5737,0.54567,0.25506,1.82538,1.75534,2.21939,0.0005842,0.0005842,0.0005842
44,870.234,1.41133,1.35565,1.6703,0.58705,0.60626,0.64019,0.30671,1.74455,1.53051,2.03033,0.0005743,0.0005743,0.0005743
45,889.348,1.39339,1.34632,1.65896,0.64446,0.5994,0.64673,0.31514,1.68677,1.49009,2.01346,0.0005644,0.0005644,0.0005644
46,908.568,1.38405,1.31068,1.6392,0.60258,0.65983,0.67782,0.31375,1.80313,1.46802,2.08278,0.0005545,0.0005545,0.0005545
47,927.69,1.40008,1.3463,1.64405,0.60584,0.58405,0.63724,0.29952,1.7543,1.52729,2.08225,0.0005446,0.0005446,0.0005446
48,946.735,1.38922,1.29834,1.64266,0.57509,0.61974,0.65623,0.29965,1.75847,1.5074,2.02195,0.0005347,0.0005347,0.0005347
49,965.719,1.36394,1.28315,1.62857,0.66009,0.63195,0.70792,0.33612,1.68957,1.43445,2.00507,0.0005248,0.0005248,0.0005248
50,984.804,1.39206,1.3111,1.64762,0.56324,0.63847,0.64537,0.30667,1.75938,1.51015,2.05053,0.0005149,0.0005149,0.0005149
51,1003.82,1.36106,1.29402,1.63199,0.60146,0.61902,0.67046,0.34641,1.6165,1.41835,1.96081,0.000505,0.000505,0.000505
52,1022.99,1.35632,1.28729,1.62413,0.57652,0.65844,0.67033,0.32433,1.70711,1.45227,2.01312,0.0004951,0.0004951,0.0004951
53,1042,1.36787,1.28601,1.63129,0.60102,0.64102,0.67642,0.33315,1.69726,1.43258,2.03593,0.0004852,0.0004852,0.0004852
54,1061.02,1.36837,1.26552,1.63518,0.51554,0.68097,0.66229,0.30669,1.74171,1.48239,2.02546,0.0004753,0.0004753,0.0004753
55,1080.03,1.37764,1.25331,1.62187,0.50141,0.59865,0.5856,0.26042,1.84721,1.62169,2.16704,0.0004654,0.0004654,0.0004654
56,1099.12,1.34895,1.23501,1.60852,0.60969,0.60762,0.66808,0.32416,1.68453,1.42944,2.00126,0.0004555,0.0004555,0.0004555
57,1118.3,1.36973,1.24852,1.63141,0.63192,0.6374,0.69117,0.33566,1.66586,1.43765,1.98858,0.0004456,0.0004456,0.0004456
58,1137.32,1.34431,1.24707,1.61373,0.58239,0.58383,0.61161,0.28,1.84432,1.68838,2.14843,0.0004357,0.0004357,0.0004357
59,1156.34,1.36714,1.23717,1.62019,0.57637,0.61893,0.63073,0.30148,1.75806,1.57194,2.09488,0.0004258,0.0004258,0.0004258
60,1175.44,1.34483,1.22617,1.60717,0.57412,0.66354,0.68202,0.33019,1.73949,1.45055,2.04777,0.0004159,0.0004159,0.0004159
61,1194.37,1.32382,1.20777,1.58792,0.54961,0.66036,0.65788,0.3138,1.78027,1.46753,2.12,0.000406,0.000406,0.000406
62,1213.49,1.33925,1.21885,1.60429,0.63194,0.65933,0.68609,0.33666,1.70625,1.39145,2.02942,0.0003961,0.0003961,0.0003961
63,1232.62,1.32003,1.17367,1.58761,0.62711,0.65614,0.69987,0.34515,1.67435,1.40179,2.007,0.0003862,0.0003862,0.0003862
64,1251.73,1.30306,1.17163,1.57632,0.5982,0.66437,0.68601,0.34632,1.69965,1.40612,1.99554,0.0003763,0.0003763,0.0003763
65,1270.84,1.29732,1.19777,1.58783,0.6301,0.65383,0.69122,0.3489,1.68282,1.40904,1.9865,0.0003664,0.0003664,0.0003664
66,1290.06,1.31174,1.19089,1.57766,0.62639,0.67015,0.69744,0.35027,1.67808,1.34353,1.99466,0.0003565,0.0003565,0.0003565
67,1309.15,1.28497,1.16963,1.57536,0.61155,0.65352,0.68725,0.35154,1.66454,1.40083,2.0071,0.0003466,0.0003466,0.0003466
68,1328.38,1.30823,1.17952,1.5831,0.61329,0.6748,0.69437,0.35257,1.6681,1.36417,1.98728,0.0003367,0.0003367,0.0003367
69,1347.54,1.28886,1.16766,1.57031,0.6489,0.65389,0.71164,0.35922,1.65298,1.36119,1.98046,0.0003268,0.0003268,0.0003268
70,1366.91,1.31271,1.18215,1.58774,0.64053,0.67586,0.69774,0.3463,1.69387,1.40773,2.0169,0.0003169,0.0003169,0.0003169
71,1386,1.30283,1.15966,1.57243,0.64407,0.65716,0.71937,0.35193,1.67592,1.36111,1.99776,0.000307,0.000307,0.000307
72,1405.12,1.28384,1.1467,1.56293,0.62745,0.6664,0.70885,0.34311,1.72185,1.4024,2.03541,0.0002971,0.0002971,0.0002971
73,1424.32,1.27103,1.12992,1.55813,0.64319,0.66924,0.70711,0.34886,1.70225,1.36285,2.01485,0.0002872,0.0002872,0.0002872
74,1443.4,1.2736,1.14404,1.55717,0.66782,0.6389,0.69406,0.33789,1.72035,1.38788,2.01103,0.0002773,0.0002773,0.0002773
75,1462.47,1.26211,1.13316,1.5528,0.68993,0.65952,0.72015,0.35608,1.6937,1.31557,2.02073,0.0002674,0.0002674,0.0002674
76,1481.52,1.27795,1.12027,1.55965,0.62674,0.70399,0.72337,0.35708,1.67043,1.33215,1.9863,0.0002575,0.0002575,0.0002575
77,1500.65,1.27175,1.10719,1.55175,0.63218,0.68509,0.71869,0.37139,1.61847,1.32535,1.96897,0.0002476,0.0002476,0.0002476
78,1519.85,1.254,1.11949,1.53507,0.60926,0.69935,0.72446,0.36364,1.65665,1.33039,1.96227,0.0002377,0.0002377,0.0002377
79,1538.99,1.23894,1.09182,1.50992,0.67934,0.6682,0.71775,0.35465,1.66548,1.32674,1.99442,0.0002278,0.0002278,0.0002278
80,1558.21,1.23313,1.08944,1.52385,0.62899,0.68885,0.70994,0.35763,1.66864,1.32699,1.97596,0.0002179,0.0002179,0.0002179
81,1577.43,1.21709,1.08414,1.52383,0.68177,0.65047,0.7201,0.35819,1.6933,1.34616,2.01538,0.000208,0.000208,0.000208
82,1596.57,1.22272,1.07373,1.51197,0.63051,0.68552,0.71836,0.36365,1.66372,1.30552,1.98249,0.0001981,0.0001981,0.0001981
83,1615.84,1.21615,1.06624,1.52406,0.67561,0.66707,0.71554,0.35811,1.66881,1.32001,2.02015,0.0001882,0.0001882,0.0001882
84,1635.04,1.21628,1.06215,1.51626,0.67583,0.64145,0.71365,0.36113,1.6844,1.32137,2.00958,0.0001783,0.0001783,0.0001783
85,1654.14,1.22792,1.06966,1.526,0.66093,0.68218,0.7246,0.36388,1.68759,1.30021,2.00993,0.0001684,0.0001684,0.0001684
86,1673.29,1.19461,1.04263,1.49948,0.70604,0.64806,0.73332,0.37801,1.65147,1.26752,1.97011,0.0001585,0.0001585,0.0001585
87,1692.49,1.19188,1.04061,1.50258,0.62295,0.70829,0.72042,0.37314,1.62989,1.30372,1.93071,0.0001486,0.0001486,0.0001486
88,1711.66,1.19281,1.04387,1.49173,0.68716,0.68018,0.72708,0.37349,1.64212,1.30123,1.96202,0.0001387,0.0001387,0.0001387
89,1730.85,1.18631,1.02649,1.49263,0.63864,0.68832,0.71849,0.36488,1.67488,1.30987,2.01123,0.0001288,0.0001288,0.0001288
90,1749.96,1.19348,1.03325,1.5067,0.64546,0.70135,0.7325,0.38071,1.62874,1.27266,1.95493,0.0001189,0.0001189,0.0001189
